Facility ID,Facility Name,Address_x,City/Town_x,State,ZIP Code_x,County/Parish_x,Telephone Number_x,Measure ID,Measure Name,Compared to National,Denominator_x,Score,Lower Estimate_x,Higher Estimate_x,Footnote,Start Date_x,End Date_x,Payment Measure Name,Address_y,City/Town_y,ZIP Code_y,County/Parish_y,Telephone Number_y,Payment Measure ID,Payment Category,Denominator_y,Payment,Lower Estimate_y,Higher Estimate_y,Payment Footnote,Value of Care Display ID,Value of Care Display Name,Value of Care Category,Value of Care Footnote,Start Date_y,End Date_y,Color
220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,BRISTOL,(508) 222-5200,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,294,13.8,11.1,17.2,,07/01/2019,06/30/2022,Payment for heart failure patients,211 PARK STREET,ATTLEBORO,2703,BRISTOL,(508) 222-5200,PAYM_30_HF,No Different Than the National Average Payment,274,"$18,061","$16,795","$19,444",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,BRISTOL,(508) 222-5200,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,489,17.6,14.8,20.8,,07/01/2019,06/30/2022,Payment for pneumonia patients,211 PARK STREET,ATTLEBORO,2703,BRISTOL,(508) 222-5200,PAYM_30_PN,Less Than the National Average Payment,450,"$18,170","$17,078","$19,142",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,,07/01/2019,06/30/2022,lightgrey
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,ESSEX,(978) 683-4000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,54,3.2,1.8,5.6,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,ONE GENERAL STREET,LAWRENCE,1842,ESSEX,(978) 683-4000,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,54,"$21,958","$19,907","$24,375",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2019,03/31/2022,lightgrey
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,ESSEX,(978) 683-4000,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,134,13.3,10.2,17.0,,07/01/2019,06/30/2022,Payment for heart attack patients,ONE GENERAL STREET,LAWRENCE,1842,ESSEX,(978) 683-4000,PAYM_30_AMI,No Different Than the National Average Payment,126,"$28,224","$25,293","$31,492",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,ESSEX,(978) 683-4000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,355,10.7,8.5,13.4,,07/01/2019,06/30/2022,Payment for heart failure patients,ONE GENERAL STREET,LAWRENCE,1842,ESSEX,(978) 683-4000,PAYM_30_HF,No Different Than the National Average Payment,338,"$19,626","$18,412","$20,915",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,ESSEX,(978) 683-4000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,228,19.3,15.8,23.2,,07/01/2019,06/30/2022,Payment for pneumonia patients,ONE GENERAL STREET,LAWRENCE,1842,ESSEX,(978) 683-4000,PAYM_30_PN,No Different Than the National Average Payment,215,"$20,520","$18,937","$22,142",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 665-2300,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,1493 CAMBRIDGE STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 665-2300,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,13,04/01/2019,03/31/2022,blue
220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 665-2300,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2019,06/30/2022,Payment for heart attack patients,1493 CAMBRIDGE STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 665-2300,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Not Available,13,07/01/2019,06/30/2022,blue
220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 665-2300,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,159,9.8,7.0,13.4,,07/01/2019,06/30/2022,Payment for heart failure patients,1493 CAMBRIDGE STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 665-2300,PAYM_30_HF,No Different Than the National Average Payment,155,"$17,868","$16,264","$19,536",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,blue
220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 665-2300,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,111,18.9,14.7,24.1,,07/01/2019,06/30/2022,Payment for pneumonia patients,1493 CAMBRIDGE STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 665-2300,PAYM_30_PN,No Different Than the National Average Payment,99,"$18,921","$16,846","$20,967",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,blue
220012,CAPE COD HEALTHCARE,27 PARK STREET,HYANNIS,MA,2601,BARNSTABLE,(508) 771-1800,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,348,3.9,2.7,5.9,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,27 PARK STREET,HYANNIS,2601,BARNSTABLE,(508) 771-1800,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,346,"$22,376","$21,385","$23,402",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2019,03/31/2022,lightgrey
220012,CAPE COD HEALTHCARE,27 PARK STREET,HYANNIS,MA,2601,BARNSTABLE,(508) 771-1800,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,504,10.4,8.4,12.6,,07/01/2019,06/30/2022,Payment for heart attack patients,27 PARK STREET,HYANNIS,2601,BARNSTABLE,(508) 771-1800,PAYM_30_AMI,Greater Than the National Average Payment,489,"$29,444","$27,605","$31,439",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,,07/01/2019,06/30/2022,lightgrey
220012,CAPE COD HEALTHCARE,27 PARK STREET,HYANNIS,MA,2601,BARNSTABLE,(508) 771-1800,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,779,13.1,11.3,15.3,,07/01/2019,06/30/2022,Payment for heart failure patients,27 PARK STREET,HYANNIS,2601,BARNSTABLE,(508) 771-1800,PAYM_30_HF,No Different Than the National Average Payment,754,"$18,134","$17,277","$19,018",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220012,CAPE COD HEALTHCARE,27 PARK STREET,HYANNIS,MA,2601,BARNSTABLE,(508) 771-1800,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,1139,19.7,17.7,21.8,,07/01/2019,06/30/2022,Payment for pneumonia patients,27 PARK STREET,HYANNIS,2601,BARNSTABLE,(508) 771-1800,PAYM_30_PN,No Different Than the National Average Payment,1081,"$20,449","$19,687","$21,205",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220015,"COOLEY DICKINSON HOSPITAL INC,THE",30 LOCUST STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,(413) 582-2000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,244,3.3,2.0,5.2,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,30 LOCUST STREET,NORTHAMPTON,1060,HAMPSHIRE,(413) 582-2000,PAYM_90_HIP_KNEE,Less Than the National Average Payment,243,"$20,156","$19,171","$21,214",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,,04/01/2019,03/31/2022,lightgrey
220015,"COOLEY DICKINSON HOSPITAL INC,THE",30 LOCUST STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,(413) 582-2000,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,51,12.9,9.2,17.7,,07/01/2019,06/30/2022,Payment for heart attack patients,30 LOCUST STREET,NORTHAMPTON,1060,HAMPSHIRE,(413) 582-2000,PAYM_30_AMI,No Different Than the National Average Payment,48,"$25,907","$22,577","$29,595",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220015,"COOLEY DICKINSON HOSPITAL INC,THE",30 LOCUST STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,(413) 582-2000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,303,10.6,7.9,13.9,,07/01/2019,06/30/2022,Payment for heart failure patients,30 LOCUST STREET,NORTHAMPTON,1060,HAMPSHIRE,(413) 582-2000,PAYM_30_HF,Less Than the National Average Payment,295,"$17,234","$16,046","$18,534",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,,07/01/2019,06/30/2022,lightgrey
220015,"COOLEY DICKINSON HOSPITAL INC,THE",30 LOCUST STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,(413) 582-2000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,221,16.7,13.0,21.0,,07/01/2019,06/30/2022,Payment for pneumonia patients,30 LOCUST STREET,NORTHAMPTON,1060,HAMPSHIRE,(413) 582-2000,PAYM_30_PN,No Different Than the National Average Payment,213,"$19,274","$17,763","$20,818",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,FRANKLIN,(413) 773-0211,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,164 HIGH STREET,GREENFIELD,1301,FRANKLIN,(413) 773-0211,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,13,04/01/2019,03/31/2022,lightgrey
220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,FRANKLIN,(413) 773-0211,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2019,06/30/2022,Payment for heart attack patients,164 HIGH STREET,GREENFIELD,1301,FRANKLIN,(413) 773-0211,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Not Available,13,07/01/2019,06/30/2022,lightgrey
220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,FRANKLIN,(413) 773-0211,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,199,11,8.0,14.8,,07/01/2019,06/30/2022,Payment for heart failure patients,164 HIGH STREET,GREENFIELD,1301,FRANKLIN,(413) 773-0211,PAYM_30_HF,Less Than the National Average Payment,196,"$16,629","$15,357","$18,053",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,,07/01/2019,06/30/2022,lightgrey
220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,FRANKLIN,(413) 773-0211,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,165,17.2,13.3,22.3,,07/01/2019,06/30/2022,Payment for pneumonia patients,164 HIGH STREET,GREENFIELD,1301,FRANKLIN,(413) 773-0211,PAYM_30_PN,No Different Than the National Average Payment,158,"$19,310","$17,537","$21,016",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,SUFFOLK,(617) 506-2000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,2100 DORCHESTER AVENUE,BOSTON,2124,SUFFOLK,(617) 506-2000,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,13,04/01/2019,03/31/2022,lightgrey
220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,SUFFOLK,(617) 506-2000,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2019,06/30/2022,Payment for heart attack patients,2100 DORCHESTER AVENUE,BOSTON,2124,SUFFOLK,(617) 506-2000,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Not Available,13,07/01/2019,06/30/2022,lightgrey
220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,SUFFOLK,(617) 506-2000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,81,9.5,6.5,13.7,,07/01/2019,06/30/2022,Payment for heart failure patients,2100 DORCHESTER AVENUE,BOSTON,2124,SUFFOLK,(617) 506-2000,PAYM_30_HF,No Different Than the National Average Payment,85,"$20,411","$18,264","$22,839",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,SUFFOLK,(617) 506-2000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,63,17.5,13.1,22.8,,07/01/2019,06/30/2022,Payment for pneumonia patients,2100 DORCHESTER AVENUE,BOSTON,2124,SUFFOLK,(617) 506-2000,PAYM_30_PN,No Different Than the National Average Payment,61,"$21,066","$18,648","$23,768",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,WORCESTER,(508) 765-9771,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,29,3.4,1.9,6.1,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,100 SOUTH STREET,SOUTHBRIDGE,1550,WORCESTER,(508) 765-9771,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,29,"$23,201","$20,364","$26,393",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2019,03/31/2022,lightgrey
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,WORCESTER,(508) 765-9771,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,27,12.2,9.2,15.8,,07/01/2019,06/30/2022,Payment for heart attack patients,100 SOUTH STREET,SOUTHBRIDGE,1550,WORCESTER,(508) 765-9771,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Not Available,13,07/01/2019,06/30/2022,lightgrey
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,WORCESTER,(508) 765-9771,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,189,10.1,7.4,13.6,,07/01/2019,06/30/2022,Payment for heart failure patients,100 SOUTH STREET,SOUTHBRIDGE,1550,WORCESTER,(508) 765-9771,PAYM_30_HF,No Different Than the National Average Payment,181,"$18,166","$16,656","$19,810",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,WORCESTER,(508) 765-9771,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,165,17.2,13.3,22.0,,07/01/2019,06/30/2022,Payment for pneumonia patients,100 SOUTH STREET,SOUTHBRIDGE,1550,WORCESTER,(508) 765-9771,PAYM_30_PN,Less Than the National Average Payment,163,"$17,739","$16,167","$19,364",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,,07/01/2019,06/30/2022,lightgrey
220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,2721,BRISTOL,(508) 674-5600,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,390,4,2.7,5.8,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,795 MIDDLE STREET,FALL RIVER,2721,BRISTOL,(508) 674-5600,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,389,"$21,673","$20,772","$22,625",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2019,03/31/2022,lightgrey
220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,2721,BRISTOL,(508) 674-5600,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,55,11.9,9.1,15.4,,07/01/2019,06/30/2022,Payment for heart attack patients,795 MIDDLE STREET,FALL RIVER,2721,BRISTOL,(508) 674-5600,PAYM_30_AMI,No Different Than the National Average Payment,55,"$25,987","$22,763","$29,420",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,2721,BRISTOL,(508) 674-5600,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,249,12.8,9.9,16.1,,07/01/2019,06/30/2022,Payment for heart failure patients,795 MIDDLE STREET,FALL RIVER,2721,BRISTOL,(508) 674-5600,PAYM_30_HF,No Different Than the National Average Payment,237,"$19,275","$17,817","$20,738",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,2721,BRISTOL,(508) 674-5600,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,351,17.1,14.1,20.4,,07/01/2019,06/30/2022,Payment for pneumonia patients,795 MIDDLE STREET,FALL RIVER,2721,BRISTOL,(508) 674-5600,PAYM_30_PN,No Different Than the National Average Payment,333,"$19,872","$18,645","$21,097",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220024,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,1040,HAMPDEN,(413) 534-2500,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,575 BEECH STREET,HOLYOKE,1040,HAMPDEN,(413) 534-2500,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,13,04/01/2019,03/31/2022,lightgrey
220024,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,1040,HAMPDEN,(413) 534-2500,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,42,12.8,9.6,16.4,,07/01/2019,06/30/2022,Payment for heart attack patients,575 BEECH STREET,HOLYOKE,1040,HAMPDEN,(413) 534-2500,PAYM_30_AMI,No Different Than the National Average Payment,40,"$26,731","$23,202","$30,625",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
